report_date,meta_campaign_id,campaign_id_crm_ref,campaign_name,ad_objective,placement,country,impressions,reach,frequency,clicks,ctr_pct,avg_cpc_eur,cpm_eur,conversions,conv_rate_pct,spend_eur,revenue_eur,roas,_load_ts,_source_system
2025-06-01,META-298875,CMP-3001,Sommerstart – Wearables & Smart Home,CONVERSIONS,feed,DE,15374,11734,1.31,321,2.09,1.1,22.97,9,2.67,353.1,5903.85,16.72,2026-05-01T06:30:00,meta_marketing_api
2025-06-01,META-298875,CMP-3001,Sommerstart – Wearables & Smart Home,CONVERSIONS,feed,AT,5252,4571,1.15,128,2.44,0.99,24.13,4,2.76,126.72,1961.13,15.48,2026-05-01T06:30:00,meta_marketing_api
2025-06-01,META-298875,CMP-3001,Sommerstart – Wearables & Smart Home,CONVERSIONS,feed,CH,3367,2853,1.18,84,2.5,1.04,25.95,2,2.93,87.36,331.78,3.8,2026-05-01T06:30:00,meta_marketing_api
2025-06-01,META-298875,CMP-3001,Sommerstart – Wearables & Smart Home,CONVERSIONS,stories,DE,8979,6314,1.42,259,2.88,0.88,25.38,7,2.67,227.92,1472.4,6.46,2026-05-01T06:30:00,meta_marketing_api
2025-06-01,META-298875,CMP-3001,Sommerstart – Wearables & Smart Home,CONVERSIONS,stories,AT,3285,2159,1.52,79,2.39,0.77,18.52,2,2.56,60.83,1094.42,17.99,2026-05-01T06:30:00,meta_marketing_api
2025-06-01,META-298875,CMP-3001,Sommerstart – Wearables & Smart Home,CONVERSIONS,stories,CH,1849,1460,1.27,47,2.52,0.87,22.11,1,2.65,40.89,307.95,7.53,2026-05-01T06:30:00,meta_marketing_api
2025-06-01,META-298875,CMP-3001,Sommerstart – Wearables & Smart Home,CONVERSIONS,reels,DE,7336,4781,1.53,145,1.97,0.95,18.78,4,2.76,137.75,2057.34,14.94,2026-05-01T06:30:00,meta_marketing_api
2025-06-01,META-298875,CMP-3001,Sommerstart – Wearables & Smart Home,CONVERSIONS,reels,AT,2396,1551,1.54,56,2.32,1.02,23.84,2,2.99,57.12,1099.42,19.25,2026-05-01T06:30:00,meta_marketing_api
2025-06-01,META-298875,CMP-3001,Sommerstart – Wearables & Smart Home,CONVERSIONS,reels,CH,1445,982,1.47,36,2.48,1.07,26.66,1,2.91,38.52,417.94,10.85,2026-05-01T06:30:00,meta_marketing_api
2025-06-01,META-298875,CMP-3001,Sommerstart – Wearables & Smart Home,CONVERSIONS,marketplace,DE,3544,2527,1.4,72,2.02,1.09,22.14,2,2.45,78.48,475.65,6.06,2026-05-01T06:30:00,meta_marketing_api
2025-06-01,META-298875,CMP-3001,Sommerstart – Wearables & Smart Home,CONVERSIONS,marketplace,AT,1060,705,1.5,20,1.91,0.96,18.11,0,2.31,19.2,0.0,0.0,2026-05-01T06:30:00,meta_marketing_api
2025-06-01,META-298875,CMP-3001,Sommerstart – Wearables & Smart Home,CONVERSIONS,marketplace,CH,700,477,1.47,13,1.8,0.99,18.39,0,3.09,12.87,0.0,0.0,2026-05-01T06:30:00,meta_marketing_api
2025-06-02,META-298875,CMP-3001,Sommerstart – Wearables & Smart Home,CONVERSIONS,feed,DE,13867,10118,1.37,315,2.27,1.07,24.31,9,2.84,337.05,5805.51,17.22,2026-05-01T06:30:00,meta_marketing_api
