report_date;adgroup_id;google_campaign_id;campaign_id_crm_ref;adgroup_name;keyword_match_type;bid_strategy;target_cpa_eur;device_type;impressions;clicks;ctr_pct;avg_cpc_eur;conversions;conv_rate_pct;spend_eur;revenue_eur;roas;quality_score;impression_share_pct;_load_ts;_source_system
02.01.2024;AGA-10011;GGL-204481;CMP-2001;Smartphones & Tablets;BROAD;TARGET_CPA;180;desktop;4771;89;186;59;4;448;5251;63242;1204;7;73;31.12.2024 06:30;google_ads_api
02.01.2024;AGA-10011;GGL-204481;CMP-2001;Smartphones & Tablets;BROAD;TARGET_CPA;180;mobile;4437;97;218;49;5;469;4753;42805;901;7;65;31.12.2024 06:30;google_ads_api
02.01.2024;AGA-10011;GGL-204481;CMP-2001;Smartphones & Tablets;BROAD;TARGET_CPA;180;tablet;843;14;166;63;1;502;882;8586;973;6;69;31.12.2024 06:30;google_ads_api
03.01.2024;AGA-10011;GGL-204481;CMP-2001;Smartphones & Tablets;BROAD;TARGET_CPA;180;desktop;5470;101;185;65;5;524;6565;51318;782;7;49;31.12.2024 06:30;google_ads_api
03.01.2024;AGA-10011;GGL-204481;CMP-2001;Smartphones & Tablets;BROAD;TARGET_CPA;180;mobile;4955;115;232;5;5;421;575;86825;151;7;7;31.12.2024 06:30;google_ads_api
03.01.2024;AGA-10011;GGL-204481;CMP-2001;Smartphones & Tablets;BROAD;TARGET_CPA;180;tablet;1139;21;188;69;1;485;1449;10799;745;7;67;31.12.2024 06:30;google_ads_api
04.01.2024;AGA-10011;GGL-204481;CMP-2001;Smartphones & Tablets;BROAD;TARGET_CPA;180;desktop;5972;129;216;64;7;532;8256;107548;1303;7;44;31.12.2024 06:30;google_ads_api
04.01.2024;AGA-10011;GGL-204481;CMP-2001;Smartphones & Tablets;BROAD;TARGET_CPA;180;mobile;4479;103;229;52;4;419;5356;27656;516;7;55;31.12.2024 06:30;google_ads_api
04.01.2024;AGA-10011;GGL-204481;CMP-2001;Smartphones & Tablets;BROAD;TARGET_CPA;180;tablet;1187;21;173;59;1;461;1239;9238;746;6;85;31.12.2024 06:30;google_ads_api
05.01.2024;AGA-10011;GGL-204481;CMP-2001;Smartphones & Tablets;BROAD;TARGET_CPA;180;desktop;6123;132;216;66;6;433;8712;46726;536;7;59;31.12.2024 06:30;google_ads_api
05.01.2024;AGA-10011;GGL-204481;CMP-2001;Smartphones & Tablets;BROAD;TARGET_CPA;180;mobile;5811;145;25;57;7;488;8265;121099;1465;8;78;31.12.2024 06:30;google_ads_api
05.01.2024;AGA-10011;GGL-204481;CMP-2001;Smartphones & Tablets;BROAD;TARGET_CPA;180;tablet;1143;18;158;59;1;453;1062;8454;796;6;85;31.12.2024 06:30;google_ads_api
