report_date,google_campaign_id,campaign_id_crm_ref,campaign_name,ad_objective,device_type,country,impressions,clicks,ctr_pct,avg_cpc_eur,conversions,conv_rate_pct,spend_eur,revenue_eur,roas,quality_score,_load_ts,_source_system
2025-07-21,GGL-578010,CMP-3003,Back-to-School – Laptops & Tablets,CONVERSIONS,desktop,DE,6973,249,3.57,0.54,12,4.65,134.46,7011.97,52.15,7,2026-05-01T06:30:00,google_ads_api
2025-07-21,GGL-578010,CMP-3003,Back-to-School – Laptops & Tablets,CONVERSIONS,desktop,AT,2274,80,3.53,0.57,4,5.3,45.6,1687.85,37.01,7,2026-05-01T06:30:00,google_ads_api
2025-07-21,GGL-578010,CMP-3003,Back-to-School – Laptops & Tablets,CONVERSIONS,desktop,CH,1621,62,3.83,0.54,4,5.8,33.48,2964.98,88.56,7,2026-05-01T06:30:00,google_ads_api
2025-07-21,GGL-578010,CMP-3003,Back-to-School – Laptops & Tablets,CONVERSIONS,mobile,DE,5750,255,4.43,0.5,11,4.5,127.5,6686.89,52.45,8,2026-05-01T06:30:00,google_ads_api
2025-07-21,GGL-578010,CMP-3003,Back-to-School – Laptops & Tablets,CONVERSIONS,mobile,AT,2204,98,4.44,0.55,4,4.16,53.9,3216.32,59.67,8,2026-05-01T06:30:00,google_ads_api
2025-07-21,GGL-578010,CMP-3003,Back-to-School – Laptops & Tablets,CONVERSIONS,mobile,CH,1400,54,3.86,0.5,2,4.5,27.0,512.39,18.98,7,2026-05-01T06:30:00,google_ads_api
2025-07-21,GGL-578010,CMP-3003,Back-to-School – Laptops & Tablets,CONVERSIONS,tablet,DE,1371,45,3.3,0.51,2,4.7,22.95,1622.25,70.69,7,2026-05-01T06:30:00,google_ads_api
2025-07-21,GGL-578010,CMP-3003,Back-to-School – Laptops & Tablets,CONVERSIONS,tablet,AT,497,13,2.63,0.53,1,4.97,6.89,388.84,56.44,6,2026-05-01T06:30:00,google_ads_api
2025-07-21,GGL-578010,CMP-3003,Back-to-School – Laptops & Tablets,CONVERSIONS,tablet,CH,320,9,2.73,0.57,1,5.81,5.13,822.3,160.29,6,2026-05-01T06:30:00,google_ads_api
2025-07-22,GGL-578010,CMP-3003,Back-to-School – Laptops & Tablets,CONVERSIONS,desktop,DE,7235,250,3.45,0.53,10,4.03,132.5,2116.62,15.97,7,2026-05-01T06:30:00,google_ads_api
2025-07-22,GGL-578010,CMP-3003,Back-to-School – Laptops & Tablets,CONVERSIONS,desktop,AT,2312,75,3.23,0.59,3,4.13,44.25,914.84,20.67,7,2026-05-01T06:30:00,google_ads_api
2025-07-22,GGL-578010,CMP-3003,Back-to-School – Laptops & Tablets,CONVERSIONS,desktop,CH,1557,49,3.12,0.61,3,5.14,29.89,675.87,22.61,7,2026-05-01T06:30:00,google_ads_api
2025-07-22,GGL-578010,CMP-3003,Back-to-School – Laptops & Tablets,CONVERSIONS,mobile,DE,6204,253,4.07,0.49,13,5.32,123.97,8452.46,68.18,8,2026-05-01T06:30:00,google_ads_api
2025-07-22,GGL-578010,CMP-3003,Back-to-School – Laptops & Tablets,CONVERSIONS,mobile,AT,2140,96,4.48,0.54,4,4.19,51.84,1942.61,37.47,8,2026-05-01T06:30:00,google_ads_api
2025-07-22,GGL-578010,CMP-3003,Back-to-School – Laptops & Tablets,CONVERSIONS,mobile,CH,1219,44,3.64,0.49,2,5.22,21.56,1641.01,76.11,7,2026-05-01T06:30:00,google_ads_api
