lead_id,contact_id,campaign_id,campaign_name,lead_channel,lead_status,lead_status_previous,lead_score,estimated_value_eur,close_probability,assigned_to,contact_segment,contact_city,contact_country,created_at,status_changed_at,updated_at,_load_ts,_source_system
LED-14165,CON-10045,CMP-2001,Neujahrsangebote – Elektronik & Gadgets,Google Ads,Prospect,Prospect,28,441.99,0.05,a.mueller@shopnow.de,Loyal,Mannheim,DE,2024-01-05T07:35:00,2024-01-09T03:49:00,2024-01-09T03:49:00,2024-12-31T06:30:00,crm_salesforce
LED-10851,CON-11326,CMP-2001,Neujahrsangebote – Elektronik & Gadgets,Google Ads,Customer,Opportunity,78,772.19,0.84,a.mueller@shopnow.de,Aktiv,Köln,DE,2024-01-13T20:21:00,2024-01-15T07:34:00,2024-01-15T07:34:00,2024-12-31T06:30:00,crm_salesforce
LED-59797,CON-10491,CMP-2001,Neujahrsangebote – Elektronik & Gadgets,Google Ads,MQL,Prospect,44,231.14,0.1,a.mueller@shopnow.de,Loyal,Leipzig,DE,2024-01-11T15:51:00,2024-01-12T13:25:00,2024-01-12T13:25:00,2024-12-31T06:30:00,crm_salesforce
LED-48427,CON-10435,CMP-2001,Neujahrsangebote – Elektronik & Gadgets,Google Ads,Customer,SQL,77,298.13,1.0,a.mueller@shopnow.de,At Risk,Bielefeld,DE,2024-01-11T13:45:00,2024-01-11T22:27:00,2024-01-11T22:27:00,2024-12-31T06:30:00,crm_salesforce
LED-40512,CON-10404,CMP-2001,Neujahrsangebote – Elektronik & Gadgets,Google Ads,Customer,SQL,89,380.93,0.88,a.mueller@shopnow.de,Aktiv,Wuppertal,DE,2024-01-06T21:40:00,2024-01-12T10:03:00,2024-01-12T10:03:00,2024-12-31T06:30:00,crm_salesforce
LED-99593,CON-10251,CMP-2001,Neujahrsangebote – Elektronik & Gadgets,Google Ads,Customer,Opportunity,88,793.19,1.0,a.mueller@shopnow.de,Aktiv,Luzern,CH,2024-01-10T14:10:00,2024-01-14T09:27:00,2024-01-14T09:27:00,2024-12-31T06:30:00,crm_salesforce
LED-38785,CON-11321,CMP-2001,Neujahrsangebote – Elektronik & Gadgets,Google Ads,Customer,Opportunity,86,193.02,1.0,a.mueller@shopnow.de,Loyal,Villach,AT,2024-01-05T08:51:00,2024-01-11T04:08:00,2024-01-11T04:08:00,2024-12-31T06:30:00,crm_salesforce
LED-51245,CON-10186,CMP-2001,Neujahrsangebote – Elektronik & Gadgets,Google Ads,SQL,Prospect,61,634.24,0.23,a.mueller@shopnow.de,Churned,Graz,AT,2024-01-08T21:09:00,2024-01-13T08:24:00,2024-01-13T08:24:00,2024-12-31T06:30:00,crm_salesforce
LED-86622,CON-11217,CMP-2001,Neujahrsangebote – Elektronik & Gadgets,Google Ads,Opportunity,MQL,59,641.26,0.4,a.mueller@shopnow.de,Loyal,Linz,AT,2024-01-07T14:08:00,2024-01-16T12:13:00,2024-01-16T12:13:00,2024-12-31T06:30:00,crm_salesforce
LED-30969,CON-10977,CMP-2001,Neujahrsangebote – Elektronik & Gadgets,Google Ads,Customer,SQL,85,313.42,1.0,a.mueller@shopnow.de,Aktiv,Leipzig,DE,2024-01-11T09:24:00,2024-01-15T06:57:00,2024-01-15T06:57:00,2024-12-31T06:30:00,crm_salesforce
LED-11504,CON-10156,CMP-2001,Neujahrsangebote – Elektronik & Gadgets,Google Ads,Customer,Opportunity,82,432.6,0.81,a.mueller@shopnow.de,At Risk,Berlin,DE,2024-01-12T15:49:00,2024-01-15T02:07:00,2024-01-15T02:07:00,2024-12-31T06:30:00,crm_salesforce
LED-44522,CON-11059,CMP-2001,Neujahrsangebote – Elektronik & Gadgets,Google Ads,Churned,Customer,99,565.32,0.02,a.mueller@shopnow.de,Neukunde,Nürnberg,DE,2024-01-10T10:55:00,2024-01-16T03:48:00,2024-01-16T03:48:00,2024-12-31T06:30:00,crm_salesforce
LED-59009,CON-10757,CMP-2001,Neujahrsangebote – Elektronik & Gadgets,Google Ads,Customer,Opportunity,93,385.94,0.9,a.mueller@shopnow.de,Neukunde,Luzern,CH,2024-01-11T17:31:00,2024-01-12T04:30:00,2024-01-12T04:30:00,2024-12-31T06:30:00,crm_salesforce
LED-79822,CON-11019,CMP-2008,Valentinstag – Schmuck & Accessoires,Meta Ads,Customer,Opportunity,81,315.56,1.0,j.fischer@shopnow.de,Neukunde,Zürich,CH,2024-02-11T22:35:00,2024-02-13T14:08:00,2024-02-13T14:08:00,2024-12-31T06:30:00,crm_salesforce
LED-80686,CON-10143,CMP-2008,Valentinstag – Schmuck & Accessoires,Meta Ads,Customer,Opportunity,82,322.9,0.84,j.fischer@shopnow.de,Churned,Köln,DE,2024-02-12T16:25:00,2024-02-15T10:53:00,2024-02-15T10:53:00,2024-12-31T06:30:00,crm_salesforce
LED-39451,CON-10148,CMP-2008,Valentinstag – Schmuck & Accessoires,Meta Ads,MQL,Prospect,33,271.12,0.11,j.fischer@shopnow.de,Loyal,Hamburg,DE,2024-02-10T14:37:00,2024-02-11T21:41:00,2024-02-11T21:41:00,2024-12-31T06:30:00,crm_salesforce
LED-14117,CON-11313,CMP-2008,Valentinstag – Schmuck & Accessoires,Meta Ads,Customer,Opportunity,91,225.59,1.0,j.fischer@shopnow.de,At Risk,Linz,AT,2024-02-09T14:17:00,2024-02-15T12:30:00,2024-02-15T12:30:00,2024-12-31T06:30:00,crm_salesforce
LED-84847,CON-10872,CMP-2008,Valentinstag – Schmuck & Accessoires,Meta Ads,Customer,Opportunity,81,106.17,0.91,j.fischer@shopnow.de,Neukunde,Frankfurt,DE,2024-02-13T22:51:00,2024-02-15T11:57:00,2024-02-15T11:57:00,2024-12-31T06:30:00,crm_salesforce
LED-63883,CON-10125,CMP-2008,Valentinstag – Schmuck & Accessoires,Meta Ads,Opportunity,SQL,63,312.65,0.41,j.fischer@shopnow.de,Churned,Wien,AT,2024-02-11T10:03:00,2024-02-15T03:54:00,2024-02-15T03:54:00,2024-12-31T06:30:00,crm_salesforce
LED-80292,CON-11361,CMP-2008,Valentinstag – Schmuck & Accessoires,Meta Ads,Opportunity,MQL,73,298.17,0.4,j.fischer@shopnow.de,Neukunde,Zürich,CH,2024-02-03T15:29:00,2024-02-07T00:57:00,2024-02-07T00:57:00,2024-12-31T06:30:00,crm_salesforce
LED-63269,CON-10969,CMP-2015,Cart Abandonment – Reaktivierung Feb–Mär,Email,Opportunity,SQL,81,102.43,0.49,a.mueller@shopnow.de,Churned,Dornbirn,AT,2024-03-15T08:10:00,2024-03-27T15:34:00,2024-03-27T15:34:00,2024-12-31T06:30:00,crm_salesforce
LED-47388,CON-10026,CMP-2015,Cart Abandonment – Reaktivierung Feb–Mär,Email,Opportunity,MQL,57,177.72,0.48,a.mueller@shopnow.de,At Risk,München,DE,2024-02-28T13:18:00,2024-03-12T21:55:00,2024-03-12T21:55:00,2024-12-31T06:30:00,crm_salesforce
LED-17492,CON-10167,CMP-2015,Cart Abandonment – Reaktivierung Feb–Mär,Email,MQL,Prospect,51,89.73,0.1,a.mueller@shopnow.de,Aktiv,Berlin,DE,2024-03-22T12:03:00,2024-03-30T21:57:00,2024-03-30T21:57:00,2024-12-31T06:30:00,crm_salesforce
LED-40828,CON-11349,CMP-2015,Cart Abandonment – Reaktivierung Feb–Mär,Email,Opportunity,SQL,72,153.39,0.43,a.mueller@shopnow.de,Aktiv,Hannover,DE,2024-03-27T08:39:00,2024-03-28T05:21:00,2024-03-28T05:21:00,2024-12-31T06:30:00,crm_salesforce
LED-44179,CON-10424,CMP-2015,Cart Abandonment – Reaktivierung Feb–Mär,Email,SQL,Prospect,68,110.59,0.28,a.mueller@shopnow.de,Loyal,Bremen,DE,2024-03-05T15:25:00,2024-03-10T07:54:00,2024-03-10T07:54:00,2024-12-31T06:30:00,crm_salesforce
LED-11220,CON-10298,CMP-2015,Cart Abandonment – Reaktivierung Feb–Mär,Email,Opportunity,SQL,58,115.84,0.5,a.mueller@shopnow.de,At Risk,Mannheim,DE,2024-02-23T13:32:00,2024-03-11T01:31:00,2024-03-11T01:31:00,2024-12-31T06:30:00,crm_salesforce
LED-24029,CON-10285,CMP-2023,Frühjahr-Launch – Outdoor & Sportartikel,Google Ads,Customer,Opportunity,76,316.87,0.95,k.bauer@shopnow.de,Neukunde,München,DE,2024-04-01T16:38:00,2024-04-15T09:51:00,2024-04-15T09:51:00,2024-12-31T06:30:00,crm_salesforce
LED-42914,CON-10785,CMP-2023,Frühjahr-Launch – Outdoor & Sportartikel,Google Ads,Customer,Opportunity,72,200.07,0.99,k.bauer@shopnow.de,Aktiv,Sankt Pölten,AT,2024-03-20T20:53:00,2024-04-07T04:53:00,2024-04-07T04:53:00,2024-12-31T06:30:00,crm_salesforce
LED-44335,CON-10977,CMP-2023,Frühjahr-Launch – Outdoor & Sportartikel,Google Ads,SQL,Prospect,66,401.87,0.28,k.bauer@shopnow.de,Aktiv,Leipzig,DE,2024-04-19T20:35:00,2024-04-20T06:39:00,2024-04-20T06:39:00,2024-12-31T06:30:00,crm_salesforce
LED-81511,CON-11265,CMP-2023,Frühjahr-Launch – Outdoor & Sportartikel,Google Ads,Prospect,Prospect,45,210.34,0.06,k.bauer@shopnow.de,Aktiv,Leipzig,DE,2024-04-21T11:27:00,2024-04-25T19:46:00,2024-04-25T19:46:00,2024-12-31T06:30:00,crm_salesforce
LED-15229,CON-10544,CMP-2023,Frühjahr-Launch – Outdoor & Sportartikel,Google Ads,Customer,Opportunity,81,274.76,1.0,k.bauer@shopnow.de,Aktiv,München,DE,2024-04-27T14:42:00,2024-05-01T09:31:00,2024-05-01T09:31:00,2024-12-31T06:30:00,crm_salesforce
LED-30257,CON-11094,CMP-2023,Frühjahr-Launch – Outdoor & Sportartikel,Google Ads,Churned,Customer,85,226.06,0.02,k.bauer@shopnow.de,Aktiv,Bonn,DE,2024-05-09T12:51:00,2024-05-16T01:47:00,2024-05-16T01:47:00,2024-12-31T06:30:00,crm_salesforce
LED-53540,CON-11173,CMP-2023,Frühjahr-Launch – Outdoor & Sportartikel,Google Ads,Customer,SQL,83,377.82,0.87,k.bauer@shopnow.de,Churned,München,DE,2024-05-05T14:17:00,2024-05-08T00:41:00,2024-05-08T00:41:00,2024-12-31T06:30:00,crm_salesforce
LED-70332,CON-10947,CMP-2023,Frühjahr-Launch – Outdoor & Sportartikel,Google Ads,Opportunity,SQL,58,181.94,0.51,k.bauer@shopnow.de,Neukunde,Duisburg,DE,2024-03-29T07:42:00,2024-04-11T03:03:00,2024-04-11T03:03:00,2024-12-31T06:30:00,crm_salesforce
LED-46585,CON-10017,CMP-2023,Frühjahr-Launch – Outdoor & Sportartikel,Google Ads,Opportunity,MQL,64,281.59,0.39,k.bauer@shopnow.de,Neukunde,Hannover,DE,2024-04-27T17:01:00,2024-05-01T08:12:00,2024-05-01T08:12:00,2024-12-31T06:30:00,crm_salesforce
LED-88193,CON-11195,CMP-2023,Frühjahr-Launch – Outdoor & Sportartikel,Google Ads,Opportunity,MQL,56,323.9,0.45,k.bauer@shopnow.de,Aktiv,Linz,AT,2024-04-11T10:24:00,2024-04-24T01:26:00,2024-04-24T01:26:00,2024-12-31T06:30:00,crm_salesforce
LED-80575,CON-10988,CMP-2023,Frühjahr-Launch – Outdoor & Sportartikel,Google Ads,Customer,Opportunity,91,369.85,1.0,k.bauer@shopnow.de,Loyal,Düsseldorf,DE,2024-04-07T20:04:00,2024-04-29T13:46:00,2024-04-29T13:46:00,2024-12-31T06:30:00,crm_salesforce
LED-76469,CON-10533,CMP-2023,Frühjahr-Launch – Outdoor & Sportartikel,Google Ads,Opportunity,MQL,68,228.75,0.47,k.bauer@shopnow.de,At Risk,München,DE,2024-04-04T19:44:00,2024-04-23T06:56:00,2024-04-23T06:56:00,2024-12-31T06:30:00,crm_salesforce
LED-32810,CON-11184,CMP-2023,Frühjahr-Launch – Outdoor & Sportartikel,Google Ads,Customer,SQL,87,349.3,0.99,k.bauer@shopnow.de,Neukunde,Klagenfurt,AT,2024-04-09T07:19:00,2024-04-27T20:46:00,2024-04-27T20:46:00,2024-12-31T06:30:00,crm_salesforce
