lead_id,contact_id,campaign_id,campaign_name,lead_channel,lead_status,lead_status_previous,lead_score,estimated_value_eur,close_probability,assigned_to,contact_segment,contact_city,contact_country,created_at,status_changed_at,updated_at,_load_ts,_source_system
LED-44105,CON-20561,CMP-3001,Sommerstart – Wearables & Smart Home,Meta Ads,Opportunity,SQL,59,408.93,0.44,a.mueller@technow.de,Aktiv,Hamburg,DE,2025-06-15T12:36:00,2025-06-19T14:52:00,2025-06-19T14:52:00,2026-05-01T06:30:00,crm_salesforce
LED-55382,CON-21235,CMP-3001,Sommerstart – Wearables & Smart Home,Meta Ads,Customer,SQL,83,213.69,1.0,a.mueller@technow.de,Aktiv,Nürnberg,DE,2025-06-05T22:51:00,2025-06-05T12:26:00,2025-06-05T12:26:00,2026-05-01T06:30:00,crm_salesforce
LED-37625,CON-20019,CMP-3001,Sommerstart – Wearables & Smart Home,Meta Ads,Churned,Opportunity,86,220.17,0.02,a.mueller@technow.de,VIP,Stuttgart,DE,2025-06-02T19:06:00,2025-06-24T12:03:00,2025-06-24T12:03:00,2026-05-01T06:30:00,crm_salesforce
LED-53330,CON-20022,CMP-3001,Sommerstart – Wearables & Smart Home,Meta Ads,Opportunity,SQL,67,343.82,0.43,a.mueller@technow.de,Neukunde,Köln,DE,2025-06-18T15:22:00,2025-06-18T20:07:00,2025-06-18T20:07:00,2026-05-01T06:30:00,crm_salesforce
LED-99374,CON-21207,CMP-3001,Sommerstart – Wearables & Smart Home,Meta Ads,SQL,MQL,53,384.2,0.25,a.mueller@technow.de,Aktiv,Innsbruck,AT,2025-06-25T21:56:00,2025-06-25T19:39:00,2025-06-25T19:39:00,2026-05-01T06:30:00,crm_salesforce
LED-80784,CON-20373,CMP-3001,Sommerstart – Wearables & Smart Home,Meta Ads,Customer,Opportunity,78,444.01,0.98,a.mueller@technow.de,Neukunde,Bonn,DE,2025-06-13T09:05:00,2025-06-18T17:14:00,2025-06-18T17:14:00,2026-05-01T06:30:00,crm_salesforce
LED-61533,CON-20681,CMP-3001,Sommerstart – Wearables & Smart Home,Meta Ads,Customer,SQL,68,476.32,1.0,a.mueller@technow.de,At Risk,Frankfurt,DE,2025-06-12T21:26:00,2025-06-17T12:54:00,2025-06-17T12:54:00,2026-05-01T06:30:00,crm_salesforce
LED-36389,CON-21038,CMP-3001,Sommerstart – Wearables & Smart Home,Meta Ads,Customer,SQL,80,223.87,0.84,a.mueller@technow.de,At Risk,Bremen,DE,2025-06-03T22:35:00,2025-06-04T07:49:00,2025-06-04T07:49:00,2026-05-01T06:30:00,crm_salesforce
LED-88679,CON-20180,CMP-3001,Sommerstart – Wearables & Smart Home,Meta Ads,Customer,Opportunity,77,367.86,0.83,a.mueller@technow.de,At Risk,Linz,AT,2025-06-30T19:19:00,2025-06-30T14:47:00,2025-06-30T14:47:00,2026-05-01T06:30:00,crm_salesforce
LED-78085,CON-20584,CMP-3001,Sommerstart – Wearables & Smart Home,Meta Ads,Customer,Opportunity,85,715.04,0.91,a.mueller@technow.de,Aktiv,Frankfurt,DE,2025-06-30T17:55:00,2025-07-01T21:55:00,2025-07-01T21:55:00,2026-05-01T06:30:00,crm_salesforce
