order_id,contact_id,order_date,order_datetime,campaign_id_ref,campaign_name_ref,acquisition_channel,article_id,category,brand,product_name,quantity,unit_price_eur,subtotal_eur,discount_pct,discount_eur,shipping_eur,total_eur,payment_method,order_status,is_returned,is_first_order,customer_city,customer_country,_load_ts,_source_system
ORD-20001,CON-20003,2026-03-12,2026-03-12T15:56:00,CMP-3012,Cart Abandonment – Retargeting laufend,Email,ART-306,Audio & Kopfhörer,Sonos,Era 300 Smart Speaker,3,449.0,1347.0,0.2,269.4,0.0,1077.6,credit_card,completed,False,True,Wien,AT,2026-05-01T06:30:00,technow_shop_db
ORD-20002,CON-20003,2025-11-12,2025-11-12T17:13:00,CMP-3012,Cart Abandonment – Retargeting laufend,Email,ART-201,Laptops & Tablets,Apple,"MacBook Air M3 13""",2,1349.0,2698.0,0.05,134.9,0.0,2563.1,paypal,completed,False,False,Wien,AT,2026-05-01T06:30:00,technow_shop_db
ORD-20003,CON-20003,2026-02-06,2026-02-06T19:34:00,CMP-3012,Cart Abandonment – Retargeting laufend,Email,ART-301,Audio & Kopfhörer,Sony,WH-1000XM6 Kopfhörer,3,369.0,1107.0,0.0,0.0,0.0,1107.0,paypal,completed,False,False,Wien,AT,2026-05-01T06:30:00,technow_shop_db
ORD-20004,CON-20003,2025-12-10,2025-12-10T18:24:00,CMP-3009,Weihnachten – Geschenke & Bundles,Email,ART-304,Audio & Kopfhörer,Samsung,Galaxy Buds3 Pro,2,199.0,398.0,0.2,79.6,0.0,318.4,klarna,completed,False,False,Wien,AT,2026-05-01T06:30:00,technow_shop_db
ORD-20005,CON-20003,2025-12-01,2025-12-01T13:05:00,,,Email,ART-304,Audio & Kopfhörer,Samsung,Galaxy Buds3 Pro,1,199.0,199.0,0.0,0.0,0.0,199.0,credit_card,completed,False,False,Wien,AT,2026-05-01T06:30:00,technow_shop_db
ORD-20006,CON-20003,2026-02-08,2026-02-08T13:00:00,CMP-3012,Cart Abandonment – Retargeting laufend,Email,ART-308,Audio & Kopfhörer,Apple,AirPods 4. Gen,1,189.0,189.0,0.0,0.0,0.0,189.0,klarna,cancelled,False,False,Wien,AT,2026-05-01T06:30:00,technow_shop_db
ORD-20007,CON-20003,2026-04-05,2026-04-05T12:04:00,,,Email,ART-205,Laptops & Tablets,HP,HP Pavilion 15 Ryzen 7,1,729.0,729.0,0.0,0.0,0.0,729.0,klarna,cancelled,False,False,Wien,AT,2026-05-01T06:30:00,technow_shop_db
ORD-20008,CON-20003,2025-09-07,2025-09-07T07:44:00,,,Email,ART-308,Audio & Kopfhörer,Apple,AirPods 4. Gen,1,189.0,189.0,0.0,0.0,0.0,189.0,klarna,cancelled,False,False,Wien,AT,2026-05-01T06:30:00,technow_shop_db
ORD-20009,CON-20003,2026-04-29,2026-04-29T08:54:00,,,Email,ART-307,Audio & Kopfhörer,Jabra,Evolve2 75 Headset,2,349.0,698.0,0.15,104.7,0.0,593.3,paypal,completed,False,False,Wien,AT,2026-05-01T06:30:00,technow_shop_db
ORD-20010,CON-20003,2025-06-23,2025-06-23T14:03:00,CMP-3002,Gaming-Sommer – Konsolen & Setup,Email,ART-401,Gaming,Sony,PlayStation 5 Pro,2,699.0,1398.0,0.07,97.86,0.0,1300.14,bank_transfer,returned,True,False,Wien,AT,2026-05-01T06:30:00,technow_shop_db
ORD-20011,CON-20003,2025-09-24,2025-09-24T20:04:00,,,Email,ART-306,Audio & Kopfhörer,Sonos,Era 300 Smart Speaker,2,449.0,898.0,0.18,161.64,0.0,736.36,paypal,completed,False,False,Wien,AT,2026-05-01T06:30:00,technow_shop_db
ORD-20012,CON-20003,2025-06-13,2025-06-13T17:53:00,CMP-3001,Sommerstart – Wearables & Smart Home,Email,ART-501,Smart Home & Wearables,Apple,Apple Watch Ultra 2,2,799.0,1598.0,0.0,0.0,0.0,1598.0,apple_pay,completed,False,False,Wien,AT,2026-05-01T06:30:00,technow_shop_db
ORD-20013,CON-20003,2026-04-04,2026-04-04T21:48:00,CMP-3012,Cart Abandonment – Retargeting laufend,Email,ART-101,Smartphones,Apple,iPhone 16 128GB,1,979.0,979.0,0.0,0.0,0.0,979.0,credit_card,cancelled,False,False,Wien,AT,2026-05-01T06:30:00,technow_shop_db
ORD-20014,CON-20003,2025-08-05,2025-08-05T08:58:00,,,Email,ART-307,Audio & Kopfhörer,Jabra,Evolve2 75 Headset,1,349.0,349.0,0.06,20.94,0.0,328.06,credit_card,completed,False,False,Wien,AT,2026-05-01T06:30:00,technow_shop_db
ORD-20015,CON-20003,2025-12-13,2025-12-13T19:06:00,,,Email,ART-301,Audio & Kopfhörer,Sony,WH-1000XM6 Kopfhörer,2,369.0,738.0,0.0,0.0,0.0,738.0,bank_transfer,completed,False,False,Wien,AT,2026-05-01T06:30:00,technow_shop_db
ORD-20016,CON-20003,2026-04-14,2026-04-14T10:21:00,,,Email,ART-301,Audio & Kopfhörer,Sony,WH-1000XM6 Kopfhörer,2,369.0,738.0,0.0,0.0,0.0,738.0,credit_card,returned,True,False,Wien,AT,2026-05-01T06:30:00,technow_shop_db
ORD-20017,CON-20003,2025-07-23,2025-07-23T07:38:00,,,Email,ART-304,Audio & Kopfhörer,Samsung,Galaxy Buds3 Pro,3,199.0,597.0,0.15,89.55,0.0,507.45,paypal,completed,False,False,Wien,AT,2026-05-01T06:30:00,technow_shop_db
ORD-20018,CON-20003,2026-04-14,2026-04-14T21:11:00,CMP-3012,Cart Abandonment – Retargeting laufend,Email,ART-307,Audio & Kopfhörer,Jabra,Evolve2 75 Headset,3,349.0,1047.0,0.0,0.0,0.0,1047.0,credit_card,completed,False,False,Wien,AT,2026-05-01T06:30:00,technow_shop_db
ORD-20019,CON-20003,2026-03-05,2026-03-05T11:09:00,CMP-3012,Cart Abandonment – Retargeting laufend,Email,ART-103,Smartphones,Samsung,Galaxy S25 128GB,1,929.0,929.0,0.21,195.09,0.0,733.91,bank_transfer,returned,True,False,Wien,AT,2026-05-01T06:30:00,technow_shop_db
ORD-20020,CON-20011,2026-01-24,2026-01-24T13:12:00,,,Meta Ads,ART-202,Laptops & Tablets,Apple,"iPad Air 11"" M2 256GB",2,879.0,1758.0,0.15,263.7,0.0,1494.3,apple_pay,cancelled,False,True,Wien,AT,2026-05-01T06:30:00,technow_shop_db
ORD-20021,CON-20011,2026-01-17,2026-01-17T17:39:00,CMP-3012,Cart Abandonment – Retargeting laufend,Meta Ads,ART-401,Gaming,Sony,PlayStation 5 Pro,2,699.0,1398.0,0.05,69.9,0.0,1328.1,klarna,completed,False,False,Wien,AT,2026-05-01T06:30:00,technow_shop_db
ORD-20022,CON-20011,2026-03-27,2026-03-27T13:15:00,CMP-3012,Cart Abandonment – Retargeting laufend,Meta Ads,ART-207,Laptops & Tablets,Asus,ZenBook 14 OLED i7 2025,1,1029.0,1029.0,0.0,0.0,0.0,1029.0,paypal,completed,False,False,Wien,AT,2026-05-01T06:30:00,technow_shop_db
ORD-20023,CON-20011,2025-09-07,2025-09-07T18:01:00,,,Meta Ads,ART-208,Laptops & Tablets,Apple,iPad mini 7 64GB WiFi,1,579.0,579.0,0.0,0.0,0.0,579.0,credit_card,completed,False,False,Wien,AT,2026-05-01T06:30:00,technow_shop_db
ORD-20024,CON-20011,2025-08-16,2025-08-16T13:12:00,CMP-3002,Gaming-Sommer – Konsolen & Setup,Meta Ads,ART-203,Laptops & Tablets,Samsung,Galaxy Tab S10 256GB,2,829.0,1658.0,0.0,0.0,0.0,1658.0,credit_card,completed,False,False,Wien,AT,2026-05-01T06:30:00,technow_shop_db
ORD-20025,CON-20011,2025-08-12,2025-08-12T12:53:00,CMP-3002,Gaming-Sommer – Konsolen & Setup,Meta Ads,ART-407,Gaming,Samsung,"Odyssey G6 27"" Gaming Mon.",3,349.0,1047.0,0.0,0.0,0.0,1047.0,paypal,completed,False,False,Wien,AT,2026-05-01T06:30:00,technow_shop_db
ORD-20026,CON-20011,2025-11-16,2025-11-16T16:29:00,CMP-3012,Cart Abandonment – Retargeting laufend,Meta Ads,ART-207,Laptops & Tablets,Asus,ZenBook 14 OLED i7 2025,1,1029.0,1029.0,0.23,236.67,0.0,792.33,klarna,completed,False,False,Wien,AT,2026-05-01T06:30:00,technow_shop_db
ORD-20027,CON-20011,2025-11-07,2025-11-07T19:44:00,CMP-3012,Cart Abandonment – Retargeting laufend,Meta Ads,ART-204,Laptops & Tablets,Lenovo,"ThinkPad X1 Carbon i7 14""",1,1649.0,1649.0,0.0,0.0,0.0,1649.0,credit_card,returned,True,False,Wien,AT,2026-05-01T06:30:00,technow_shop_db
ORD-20028,CON-20011,2025-12-29,2025-12-29T11:20:00,CMP-3012,Cart Abandonment – Retargeting laufend,Meta Ads,ART-208,Laptops & Tablets,Apple,iPad mini 7 64GB WiFi,1,579.0,579.0,0.0,0.0,0.0,579.0,klarna,completed,False,False,Wien,AT,2026-05-01T06:30:00,technow_shop_db
ORD-20029,CON-20019,2025-07-04,2025-07-04T12:32:00,CMP-3012,Cart Abandonment – Retargeting laufend,Google Ads,ART-403,Gaming,Nintendo,Nintendo Switch 2,2,449.0,898.0,0.0,0.0,0.0,898.0,klarna,returned,True,True,Stuttgart,DE,2026-05-01T06:30:00,technow_shop_db
ORD-20030,CON-20019,2026-02-09,2026-02-09T22:17:00,,,Google Ads,ART-301,Audio & Kopfhörer,Sony,WH-1000XM6 Kopfhörer,1,369.0,369.0,0.09,33.21,0.0,335.79,paypal,completed,False,False,Stuttgart,DE,2026-05-01T06:30:00,technow_shop_db
ORD-20031,CON-20019,2025-11-04,2025-11-04T20:56:00,CMP-3005,Business Herbst – IT & Office Upgrade,Google Ads,ART-306,Audio & Kopfhörer,Sonos,Era 300 Smart Speaker,2,449.0,898.0,0.0,0.0,0.0,898.0,klarna,completed,False,False,Stuttgart,DE,2026-05-01T06:30:00,technow_shop_db
ORD-20032,CON-20019,2025-10-30,2025-10-30T21:33:00,CMP-3004,iPhone 16 Launch – Trade-In Aktion,Google Ads,ART-107,Smartphones,OnePlus,OnePlus 13 256GB,2,869.0,1738.0,0.0,0.0,0.0,1738.0,paypal,completed,False,False,Stuttgart,DE,2026-05-01T06:30:00,technow_shop_db
ORD-20033,CON-20019,2026-02-10,2026-02-10T17:17:00,CMP-3010,Neujahrs-Deals – Fitness & Smart Home,Google Ads,ART-102,Smartphones,Apple,iPhone 16 Pro 256GB,2,1329.0,2658.0,0.0,0.0,0.0,2658.0,bank_transfer,completed,False,False,Stuttgart,DE,2026-05-01T06:30:00,technow_shop_db
ORD-20034,CON-20019,2026-02-18,2026-02-18T09:50:00,CMP-3012,Cart Abandonment – Retargeting laufend,Google Ads,ART-106,Smartphones,Xiaomi,Redmi Note 14 Pro 256GB,1,369.0,369.0,0.0,0.0,0.0,369.0,credit_card,completed,False,False,Stuttgart,DE,2026-05-01T06:30:00,technow_shop_db
ORD-20035,CON-20019,2025-11-16,2025-11-16T15:19:00,,,Google Ads,ART-304,Audio & Kopfhörer,Samsung,Galaxy Buds3 Pro,3,199.0,597.0,0.0,0.0,0.0,597.0,apple_pay,completed,False,False,Stuttgart,DE,2026-05-01T06:30:00,technow_shop_db
ORD-20036,CON-20019,2026-03-06,2026-03-06T15:00:00,,,Google Ads,ART-306,Audio & Kopfhörer,Sonos,Era 300 Smart Speaker,2,449.0,898.0,0.0,0.0,0.0,898.0,klarna,returned,True,False,Stuttgart,DE,2026-05-01T06:30:00,technow_shop_db
ORD-20037,CON-20019,2025-06-07,2025-06-07T22:41:00,CMP-3001,Sommerstart – Wearables & Smart Home,Google Ads,ART-304,Audio & Kopfhörer,Samsung,Galaxy Buds3 Pro,1,199.0,199.0,0.0,0.0,0.0,199.0,paypal,completed,False,False,Stuttgart,DE,2026-05-01T06:30:00,technow_shop_db
ORD-20038,CON-20019,2026-02-20,2026-02-20T21:46:00,,,Google Ads,ART-302,Audio & Kopfhörer,Apple,AirPods Pro 3. Gen,2,269.0,538.0,0.0,0.0,0.0,538.0,klarna,completed,False,False,Stuttgart,DE,2026-05-01T06:30:00,technow_shop_db
ORD-20039,CON-20019,2025-12-31,2025-12-31T13:28:00,CMP-3012,Cart Abandonment – Retargeting laufend,Google Ads,ART-503,Smart Home & Wearables,Fitbit,Sense 3 Fitness-Tracker,2,199.0,398.0,0.0,0.0,0.0,398.0,paypal,completed,False,False,Stuttgart,DE,2026-05-01T06:30:00,technow_shop_db
ORD-20040,CON-20019,2025-11-29,2025-11-29T17:14:00,CMP-3012,Cart Abandonment – Retargeting laufend,Google Ads,ART-305,Audio & Kopfhörer,JBL,Charge 6 Bluetooth Box,2,179.0,358.0,0.0,0.0,0.0,358.0,klarna,returned,True,False,Stuttgart,DE,2026-05-01T06:30:00,technow_shop_db
ORD-20041,CON-20019,2025-08-11,2025-08-11T11:21:00,,,Google Ads,ART-507,Smart Home & Wearables,Xiaomi,Smart Band 9 Pro,2,79.0,158.0,0.13,20.54,0.0,137.46,paypal,returned,True,False,Stuttgart,DE,2026-05-01T06:30:00,technow_shop_db
ORD-20042,CON-20019,2026-01-30,2026-01-30T10:21:00,,,Google Ads,ART-305,Audio & Kopfhörer,JBL,Charge 6 Bluetooth Box,1,179.0,179.0,0.18,32.22,0.0,146.78,credit_card,completed,False,False,Stuttgart,DE,2026-05-01T06:30:00,technow_shop_db
ORD-20043,CON-20019,2026-04-05,2026-04-05T22:01:00,CMP-3012,Cart Abandonment – Retargeting laufend,Google Ads,ART-307,Audio & Kopfhörer,Jabra,Evolve2 75 Headset,2,349.0,698.0,0.11,76.78,0.0,621.22,credit_card,returned,True,False,Stuttgart,DE,2026-05-01T06:30:00,technow_shop_db
ORD-20044,CON-20019,2025-06-30,2025-06-30T18:33:00,CMP-3002,Gaming-Sommer – Konsolen & Setup,Google Ads,ART-307,Audio & Kopfhörer,Jabra,Evolve2 75 Headset,2,349.0,698.0,0.07,48.86,0.0,649.14,paypal,returned,True,False,Stuttgart,DE,2026-05-01T06:30:00,technow_shop_db
ORD-20045,CON-20019,2025-07-06,2025-07-06T19:57:00,,,Google Ads,ART-304,Audio & Kopfhörer,Samsung,Galaxy Buds3 Pro,2,199.0,398.0,0.0,0.0,0.0,398.0,klarna,cancelled,False,False,Stuttgart,DE,2026-05-01T06:30:00,technow_shop_db
ORD-20046,CON-20019,2025-08-21,2025-08-21T16:37:00,CMP-3012,Cart Abandonment – Retargeting laufend,Google Ads,ART-305,Audio & Kopfhörer,JBL,Charge 6 Bluetooth Box,1,179.0,179.0,0.08,14.32,0.0,164.68,bank_transfer,completed,False,False,Stuttgart,DE,2026-05-01T06:30:00,technow_shop_db
ORD-20047,CON-20019,2026-04-06,2026-04-06T14:33:00,CMP-3012,Cart Abandonment – Retargeting laufend,Google Ads,ART-501,Smart Home & Wearables,Apple,Apple Watch Ultra 2,1,799.0,799.0,0.23,183.77,0.0,615.23,paypal,completed,False,False,Stuttgart,DE,2026-05-01T06:30:00,technow_shop_db
ORD-20048,CON-20019,2025-10-31,2025-10-31T19:39:00,,,Google Ads,ART-404,Gaming,Sony,DualSense Edge Controller,1,119.0,119.0,0.0,0.0,0.0,119.0,paypal,cancelled,False,False,Stuttgart,DE,2026-05-01T06:30:00,technow_shop_db
ORD-20049,CON-20019,2025-12-14,2025-12-14T12:44:00,,,Google Ads,ART-301,Audio & Kopfhörer,Sony,WH-1000XM6 Kopfhörer,1,369.0,369.0,0.0,0.0,0.0,369.0,credit_card,completed,False,False,Stuttgart,DE,2026-05-01T06:30:00,technow_shop_db
ORD-20050,CON-20019,2026-04-18,2026-04-18T16:42:00,,,Google Ads,ART-304,Audio & Kopfhörer,Samsung,Galaxy Buds3 Pro,2,199.0,398.0,0.0,0.0,0.0,398.0,credit_card,returned,True,False,Stuttgart,DE,2026-05-01T06:30:00,technow_shop_db
ORD-20051,CON-20019,2025-12-06,2025-12-06T09:48:00,CMP-3012,Cart Abandonment – Retargeting laufend,Google Ads,ART-205,Laptops & Tablets,HP,HP Pavilion 15 Ryzen 7,1,729.0,729.0,0.0,0.0,0.0,729.0,credit_card,completed,False,False,Stuttgart,DE,2026-05-01T06:30:00,technow_shop_db
